time,temperature_2m_max,temperature_2m_min,precipitation_sum,date,year,month
2022-06-08,24.8,13.5,0.1,2022-06-08,2022,6
2022-06-09,21.0,15.9,1.8,2022-06-09,2022,6
2022-06-10,24.9,13.1,0.0,2022-06-10,2022,6
2022-06-11,26.4,16.5,0.0,2022-06-11,2022,6
2022-06-12,25.6,14.5,0.7,2022-06-12,2022,6
2022-06-13,20.7,12.6,0.6,2022-06-13,2022,6
2022-06-14,19.3,9.9,0.1,2022-06-14,2022,6
2022-06-15,24.6,8.4,0.0,2022-06-15,2022,6
2022-06-16,23.9,13.4,0.0,2022-06-16,2022,6
2022-06-17,24.9,12.1,0.0,2022-06-17,2022,6
2022-06-18,34.0,17.1,0.0,2022-06-18,2022,6
2022-06-19,35.5,15.7,1.4,2022-06-19,2022,6
2022-06-20,17.1,12.9,4.1,2022-06-20,2022,6
2022-06-21,23.5,11.2,0.0,2022-06-21,2022,6
2022-06-22,26.7,11.6,0.0,2022-06-22,2022,6
2022-06-23,29.5,13.4,0.0,2022-06-23,2022,6
2022-06-24,31.8,19.0,1.2,2022-06-24,2022,6
2022-06-25,27.4,18.5,11.7,2022-06-25,2022,6
2022-06-26,29.8,17.6,0.5,2022-06-26,2022,6
2022-06-27,34.4,20.6,0.0,2022-06-27,2022,6
2022-06-28,24.8,17.0,6.8,2022-06-28,2022,6
2022-06-29,25.0,15.6,0.3,2022-06-29,2022,6
2022-06-30,27.1,17.6,2.6,2022-06-30,2022,6
2022-07-01,26.0,16.1,4.8,2022-07-01,2022,7
2022-07-02,25.5,12.0,0.0,2022-07-02,2022,7
2022-07-03,28.8,15.2,0.0,2022-07-03,2022,7
2022-07-04,24.7,17.1,0.0,2022-07-04,2022,7
2022-07-05,24.8,14.6,0.1,2022-07-05,2022,7
2022-07-06,20.1,14.6,0.0,2022-07-06,2022,7
2022-07-07,20.9,13.7,17.7,2022-07-07,2022,7
2022-07-08,19.7,12.8,0.1,2022-07-08,2022,7
2022-07-09,19.9,12.0,2.1,2022-07-09,2022,7
2022-07-10,19.6,12.9,0.3,2022-07-10,2022,7
2022-07-11,22.6,12.1,0.4,2022-07-11,2022,7
2022-07-12,27.1,11.4,0.0,2022-07-12,2022,7
2022-07-13,30.5,14.5,0.0,2022-07-13,2022,7
2022-07-14,24.8,15.4,0.0,2022-07-14,2022,7
2022-07-15,20.1,12.2,0.2,2022-07-15,2022,7
2022-07-16,21.6,14.1,3.2,2022-07-16,2022,7
2022-07-17,22.9,10.7,0.0,2022-07-17,2022,7
2022-07-18,28.2,13.3,0.0,2022-07-18,2022,7
2022-07-19,34.9,16.0,0.0,2022-07-19,2022,7
2022-07-20,37.7,21.0,0.0,2022-07-20,2022,7
2022-07-21,28.8,20.0,3.8,2022-07-21,2022,7
2022-07-22,24.4,18.4,0.2,2022-07-22,2022,7
2022-07-23,24.0,15.6,5.9,2022-07-23,2022,7
2022-07-24,27.2,11.6,0.0,2022-07-24,2022,7
2022-07-25,35.0,18.3,3.0,2022-07-25,2022,7
2022-07-26,24.4,17.3,3.1,2022-07-26,2022,7
2022-07-27,20.4,12.3,0.0,2022-07-27,2022,7
2022-07-28,22.5,10.1,0.0,2022-07-28,2022,7
2022-07-29,27.7,14.3,0.0,2022-07-29,2022,7
2022-07-30,26.1,17.6,0.0,2022-07-30,2022,7
2022-07-31,27.8,14.7,0.0,2022-07-31,2022,7
2022-08-01,24.4,17.3,0.8,2022-08-01,2022,8
2022-08-02,27.1,14.9,0.0,2022-08-02,2022,8
2022-08-03,33.0,17.1,0.0,2022-08-03,2022,8
2022-08-04,37.1,20.2,0.0,2022-08-04,2022,8
2022-08-05,28.8,17.6,5.1,2022-08-05,2022,8
2022-08-06,22.3,13.4,0.0,2022-08-06,2022,8
2022-08-07,23.5,11.1,0.0,2022-08-07,2022,8
2022-08-08,26.6,13.6,0.0,2022-08-08,2022,8
2022-08-09,27.2,17.0,0.0,2022-08-09,2022,8
2022-08-10,28.6,14.4,0.0,2022-08-10,2022,8
2022-08-11,29.6,16.3,0.0,2022-08-11,2022,8
2022-08-12,29.6,15.6,0.0,2022-08-12,2022,8
2022-08-13,28.8,18.7,5.9,2022-08-13,2022,8
2022-08-14,32.1,19.1,0.1,2022-08-14,2022,8
2022-08-15,29.5,19.6,0.8,2022-08-15,2022,8
2022-08-16,29.2,17.7,0.0,2022-08-16,2022,8
2022-08-17,32.1,17.3,0.0,2022-08-17,2022,8
2022-08-18,32.4,21.2,0.2,2022-08-18,2022,8
2022-08-19,24.8,18.9,11.6,2022-08-19,2022,8
2022-08-20,21.6,18.5,6.5,2022-08-20,2022,8
2022-08-21,23.4,15.0,0.0,2022-08-21,2022,8
2022-08-22,22.8,14.3,0.0,2022-08-22,2022,8
2022-08-23,25.1,16.7,0.0,2022-08-23,2022,8
2022-08-24,26.6,15.4,0.1,2022-08-24,2022,8
2022-08-25,27.2,18.0,0.7,2022-08-25,2022,8
2022-08-26,26.9,19.1,20.6,2022-08-26,2022,8
2022-08-27,23.0,18.5,9.5,2022-08-27,2022,8
2022-08-28,21.9,15.4,0.5,2022-08-28,2022,8
2022-08-29,21.6,12.8,0.1,2022-08-29,2022,8
2022-08-30,20.9,13.1,0.6,2022-08-30,2022,8
2022-08-31,21.3,12.4,0.3,2022-08-31,2022,8
2023-05-01,17.4,2.8,0.0,2023-05-01,2023,5
2023-05-02,12.8,8.1,0.4,2023-05-02,2023,5
2023-05-03,14.9,4.1,0.0,2023-05-03,2023,5
2023-05-04,17.1,3.3,0.0,2023-05-04,2023,5
2023-05-05,18.5,8.6,0.1,2023-05-05,2023,5
2023-05-06,10.9,8.3,12.1,2023-05-06,2023,5
2023-05-07,15.0,6.1,0.0,2023-05-07,2023,5
2023-05-08,16.6,5.3,0.0,2023-05-08,2023,5
2023-05-09,18.0,7.3,0.0,2023-05-09,2023,5
2023-05-10,21.5,9.5,0.0,2023-05-10,2023,5
