date,pm10,pm25,no2,no,nox,o3,co,toluene,carbon_monoxide,sulfur_dioxide
2023-08-17,16.0,9.0,14.0,5.0,21.0,68.0,,,0.2,
2023-08-18,21.0,12.0,22.0,7.0,32.0,68.0,,,0.3,
2023-08-19,23.0,14.0,21.0,3.0,26.0,72.0,,,0.3,
2023-08-20,18.0,11.0,12.0,2.0,14.0,69.0,,,0.2,
2023-08-21,17.0,9.0,18.0,6.0,27.0,63.0,,,0.2,
2023-08-22,21.0,9.0,22.0,6.0,32.0,55.0,,,0.3,
2023-08-23,22.0,11.0,33.0,9.0,46.0,50.0,,,0.3,
2023-08-24,24.0,11.0,35.0,10.0,50.0,60.0,,,0.4,
2023-08-25,27.0,14.0,27.0,7.0,38.0,75.0,,,0.3,
2023-08-26,15.0,9.0,20.0,6.0,29.0,56.0,,,0.2,
2023-08-27,17.0,11.0,24.0,6.0,33.0,42.0,,,0.3,
2023-08-28,14.0,7.0,25.0,11.0,41.0,50.0,,,0.3,
2023-08-29,13.0,9.0,18.0,3.0,22.0,48.0,,,0.2,
2023-08-30,13.0,8.0,26.0,10.0,42.0,45.0,,,0.3,
2023-08-31,12.0,8.0,24.0,15.0,47.0,45.0,,,0.3,
2024-05-01,31.0,12.0,18.0,4.0,24.0,94.0,,,0.3,
2024-05-02,35.0,12.0,27.0,9.0,42.0,78.0,,,0.3,
2024-05-03,26.0,11.0,23.0,8.0,35.0,63.0,,,0.3,
2024-05-04,22.0,16.0,14.0,5.0,22.0,63.0,,,0.2,
2024-05-05,19.0,12.0,14.0,4.0,21.0,59.0,,,0.2,
2024-05-06,14.0,7.0,22.0,10.0,38.0,73.0,,,0.2,
2024-05-07,15.0,8.0,9.0,2.0,11.0,68.0,,,0.2,
2024-05-08,19.0,9.0,13.0,4.0,19.0,77.0,,,0.2,
2024-05-09,19.0,10.0,13.0,2.0,15.0,77.0,,,0.2,
2024-05-10,24.0,13.0,21.0,4.0,27.0,73.0,,,0.3,
2024-05-11,18.0,12.0,6.0,2.0,7.0,66.0,,,0.2,
2024-05-12,14.0,6.0,12.0,3.0,16.0,73.0,,,0.2,
2024-05-13,23.0,8.0,27.0,9.0,41.0,78.0,,,0.3,
2024-05-14,26.0,8.0,30.0,11.0,47.0,82.0,,,0.3,
2024-05-15,31.0,8.0,25.0,9.0,38.0,79.0,,,0.3,
2024-05-16,36.0,10.0,25.0,10.0,40.0,76.0,,,0.3,
2024-05-17,33.0,11.0,20.0,7.0,30.0,79.0,,,0.2,
2024-05-18,16.0,9.0,18.0,6.0,27.0,65.0,,,0.3,
2024-05-19,19.0,13.0,16.0,4.0,23.0,55.0,,,0.3,
2024-05-20,18.0,12.0,15.0,3.0,20.0,63.0,,,0.2,
2024-05-21,24.0,14.0,17.0,4.0,24.0,89.0,,,0.2,
2024-05-22,24.0,14.0,23.0,9.0,36.0,77.0,,,0.3,
2024-05-23,25.0,16.0,25.0,12.0,44.0,67.0,,,0.3,
2024-05-24,27.0,18.0,24.0,8.0,36.0,66.0,,,0.3,
